94,84,88,1,53,4,2,42,59,24
1,94,99,45,88,4,63,8,5,20
26,7,10,76,30,38,10,16,34,57
21,48,42,16,63,64,37,39,88,30
4,88,55,95,35,9,38,86,31,88
100,5,37,85,72,47,49,40,17,26
90,80,12,59,7,11,35,49,99,64
60,88,92,12,43,27,76,91,51,73
42,2,20,60,85,32,62,24,30,82
4,37,41,19,65,20,47,53,88,84
81,95,53,99,71,18,25,68,12,51
48,75,71,98,75,43,85,38,76,89
67,73,80,69,51,90,2,100,52,5
84,1,41,83,10,16,27,24,25,4
87,26,52,86,79,40,44,88,47,97
69,88,92,99,51,38,100,99,91,47
19,17,79,4,57,37,13,32,78,30
85,73,20,31,60,37,26,37,96,88
99,88,19,97,33,24,86,29,17,86
32,98,16,53,8,54,24,62,80,58
51,43,40,1,20,43,63,78,63,7
68,24,8,4,10,15,43,56,51,55
91,63,61,54,48,97,56,61,44,30
19,19,22,17,12,8,8,92,97,95
42,21,89,99,22,46,8,81,29,42
67,34,14,25,97,57,20,15,42,50
85,47,56,51,37,60,22,24,43,35
57,43,26,38,46,100,13,5,36,9
16,73,75,100,79,66,35,55,92,61
56,29,40,62,12,85,18,11,5,55
53,60,76,96,27,31,59,78,75,53
94,83,14,39,19,16,61,87,68,4
17,61,67,6,94,64,96,35,33,17
24,100,87,59,4,63,79,83,73,75
90,82,86,19,65,5,16,5,33,81
10,24,46,10,79,47,7,59,45,15
31,61,84,26,33,75,50,10,90,85
94,22,87,41,3,66,60,19,96,4
33,33,100,24,80,31,19,60,70,82
46,92,73,16,38,79,41,55,95,35
64,19,47,21,25,34,23,82,12,49
9,13,3,74,42,73,29,46,75,35
63,1,87,11,62,92,49,38,9,68
66,86,65,46,26,61,72,52,2,98
48,24,50,5,10,52,2,73,4,15
33,19,19,88,48,23,49,13,76,15
29,74,44,37,8,61,39,41,62,35
97,6,91,31,52,9,1,94,96,90
25,6,24,27,81,14,7,53,51,11
60,2,3,85,39,8,78,27,6,99
27,92,35,33,51,11,5,7,64,84
42,73,59,49,57,30,48,95,16,82
26,75,12,45,68,3,35,16,61,52
14,81,26,78,100,94,28,16,10,25
50,68,33,81,27,9,3,36,21,87
73,12,98,32,41,41,48,100,48,50
32,50,4,67,13,7,81,78,97,9
30,83,67,4,62,26,40,54,93,43
35,40,54,92,48,61,100,64,2,12
26,38,23,96,8,58,36,37,8,61
47,73,76,91,26,81,15,99,51,48
78,97,72,63,57,94,6,56,63,48
73,36,82,4,19,70,63,73,68,86
35,91,21,35,97,84,72,83,14,64
58,41,15,60,44,84,47,5,17,65
87,85,54,29,24,14,24,15,88,64
17,81,87,45,42,59,7,55,98,89
2,31,63,44,51,58,31,94,68,86
55,39,89,39,54,55,27,34,56,44
36,59,94,53,90,73,18,86,30,67
89,63,57,71,27,70,17,15,58,62
97,82,73,48,74,27,30,21,46,43
96,59,35,12,64,6,14,65,51,64
72,100,3,16,89,51,61,66,39,100
14,94,100,17,49,38,18,85,58,76
24,5,4,40,75,66,81,91,5,74
83,93,32,41,39,77,84,83,1,85
54,71,66,66,91,100,78,70,90,42
38,72,42,75,46,74,81,37,41,60
99,19,19,49,41,41,92,38,9,65
53,66,90,15,52,23,21,45,90,90
83,94,96,18,2,20,25,38,27,13
71,23,28,39,80,86,63,17,76,3
14,82,77,55,60,57,90,77,62,56
59,89,38,72,19,46,16,43,43,10
93,70,69,40,12,88,61,72,50,38
32,77,15,56,48,58,99,98,43,5
49,94,32,56,30,40,6,67,3,53
72,64,30,4,15,30,48,1,94,7
42,90,2,59,36,98,58,91,64,44
23,44,21,86,54,73,49,91,36,26
41,98,68,86,86,82,63,31,54,26
14,90,13,34,42,56,87,85,64,91
25,53,39,45,6,14,73,80,42,63
93,82,28,6,52,29,5,15,59,65
28,80,1,16,75,1,61,24,3,42
74,37,100,90,17,69,29,82,84,9
13,16,22,63,52,24,48,55,72,53
36,7,67,71,9,90,39,81,64,83
64,89,87,60,13,2,67,97,89,31
